Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland Aero,1962,C74082,-37.00813,174.78873,7,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Max_min: Daily
Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
1962,20100716:0900,13.0,24,6.2,24,3.1,24,-,-,-,D
1962,20100717:0900,13.5,24,8.2,24,5.6,24,-,-,-,D
1962,20100718:0900,15.0,24,6.0,24,1.2,24,-,-,-,D
1962,20100719:0900,14.6,24,5.0,24,1.2,24,-,-,-,D
1962,20100720:0900,13.2,24,8.1,24,5.9,24,-,-,-,D
1962,20100721:0900,15.3,24,8.5,24,3.2,24,-,-,-,D
1962,20100722:0900,14.3,24,12.2,24,11.6,24,-,-,-,D
1962,20100723:0900,17.1,24,10.2,24,8.9,24,-,-,-,D
1962,20100724:0900,15.1,24,7.9,24,3.0,24,-,-,-,D
1962,20100725:0900,15.5,24,6.8,24,1.7,24,-,-,-,D
1962,20100726:0900,14.4,24,7.7,24,3.6,24,-,-,-,D
1962,20100727:0900,15.0,24,9.2,24,6.5,24,-,-,-,D
1962,20100728:0900,15.3,24,8.7,24,5.5,24,-,-,-,D
1962,20100729:0900,14.2,24,8.0,24,5.1,24,-,-,-,D
1962,20100730:0900,14.0,24,5.3,24,3.1,24,-,-,-,D
1962,20100731:0900,13.3,24,4.5,24,0.5,24,-,-,-,D
1962,20100801:0900,15.2,24,7.2,24,8.0,24,-,-,-,D
1962,20100802:0900,14.6,24,12.9,24,12.7,24,-,-,-,D
1962,20100803:0900,16.2,24,10.1,24,7.5,24,-,-,-,D
1962,20100804:0900,16.1,24,12.6,24,13.7,24,-,-,-,D
1962,20100805:0900,16.0,24,10.3,24,8.5,24,-,-,-,D
1962,20100806:0900,15.6,24,8.7,24,6.2,24,-,-,-,D
1962,20100807:0900,16.6,24,10.8,24,9.4,24,-,-,-,D
1962,20100808:0900,14.6,24,8.9,24,7.5,24,-,-,-,D
1962,20100809:0900,15.0,24,9.2,24,7.2,24,-,-,-,D
1962,20100810:0900,14.2,24,4.6,24,0.9,24,-,-,-,D
1962,20100811:0900,12.7,24,3.1,24,0.4,24,-,-,-,D
1962,20100812:0900,14.3,24,3.3,24,0.4,24,-,-,-,D
1962,20100813:0900,14.7,24,8.6,24,10.8,24,-,-,-,D
1962,20100814:0900,15.7,24,14.1,24,13.3,24,-,-,-,D
1962,20100815:0900,15.4,24,13.0,24,11.5,24,-,-,-,D
1962,20100816:0900,14.6,24,9.7,24,6.7,24,-,-,-,D
1962,20100817:0900,15.8,24,11.9,24,10.3,24,-,-,-,D
1962,20100818:0900,18.2,24,10.2,24,8.5,24,-,-,-,D
1962,20100819:0900,13.7,24,9.3,24,7.8,24,-,-,-,D
1962,20100820:0900,15.0,24,6.9,24,5.5,24,-,-,-,D
1962,20100821:0900,14.7,24,11.1,24,11.2,24,-,-,-,D
1962,20100822:0900,16.4,24,10.5,24,8.8,24,-,-,-,D
1962,20100823:0900,15.0,24,8.0,24,6.5,24,-,-,-,D
1962,20100824:0900,15.4,24,9.1,24,7.6,24,-,-,-,D
1962,20100825:0900,14.7,24,6.7,24,5.7,24,-,-,-,D
1962,20100826:0900,15.7,24,9.4,24,8.4,24,-,-,-,D
1962,20100827:0900,16.7,24,12.2,24,11.9,24,-,-,-,D
1962,20100828:0900,15.4,24,9.2,24,8.1,24,-,-,-,D
1962,20100829:0900,18.3,24,10.0,24,9.6,24,-,-,-,D
1962,20100830:0900,15.9,24,8.5,24,7.6,24,-,-,-,D
1962,20100831:0900,15.0,24,9.7,24,8.4,24,-,-,-,D
1962,20100901:0900,15.6,24,7.9,24,5.9,24,-,-,-,D
1962,20100902:0900,15.9,24,6.4,24,6.2,24,-,-,-,D
1962,20100903:0900,13.9,24,10.3,24,8.0,24,-,-,-,D
1962,20100904:0900,15.1,24,8.1,24,6.9,24,-,-,-,D
1962,20100905:0900,15.0,24,8.0,24,6.8,24,-,-,-,D
