Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland, North Shore Albany Ews,37852,A64776,-36.74827,174.71377,64,H,Niwa
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Sunshine: Daily
Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
37852,20110206:2259,6.3,24,D
37852,20110207:2259,4.0,24,D
37852,20110208:2259,4.9,24,D
37852,20110209:2259,2.2,24,D
37852,20110210:2259,10.3,24,D
37852,20110211:2259,11.4,24,D
37852,20110212:2259,6.1,24,D
37852,20110213:2259,10.4,24,D
37852,20110214:2259,9.1,24,D
37852,20110215:2259,5.5,24,D
37852,20110216:2259,0.1,24,D
37852,20110217:2259,10.3,24,D
37852,20110218:2259,8.4,24,D
37852,20110219:2259,10.5,24,D
37852,20110220:2259,9.4,24,D
37852,20110221:2259,3.6,24,D
37852,20110222:2259,6.5,24,D
37852,20110223:2259,6.3,24,D
37852,20110224:2259,8.4,24,D
37852,20110225:2259,8.9,24,D
37852,20110226:2259,10.2,24,D
37852,20110227:2259,11.1,24,D
37852,20110228:2259,7.6,24,D
37852,20110301:2259,10.0,24,D
37852,20110302:2259,1.9,24,D
37852,20110303:2259,7.0,24,D
37852,20110304:2259,3.5,24,D
37852,20110305:2259,0.0,24,D
37852,20110306:2259,6.3,24,D
37852,20110307:2259,11.4,24,D
37852,20110308:2259,11.5,24,D
37852,20110309:2259,8.3,24,D
37852,20110310:2259,8.2,24,D
37852,20110311:2259,8.4,24,D
37852,20110312:2259,9.6,24,D
37852,20110313:2259,6.0,24,D
37852,20110314:2259,10.6,24,D
37852,20110315:2259,11.0,24,D
37852,20110316:2259,6.6,24,D
37852,20110317:2259,7.7,24,D
37852,20110318:2259,3.3,24,D
37852,20110319:2259,9.3,24,D
37852,20110320:2259,7.4,24,D
37852,20110321:2259,0.0,24,D
37852,20110322:2259,5.2,24,D
37852,20110323:2259,6.1,24,D
37852,20110324:2259,7.4,24,D
37852,20110325:2259,0.0,24,D
37852,20110326:2259,0.0,24,D
37852,20110327:2259,0.5,24,D
37852,20110328:2259,7.7,24,D
37852,20110329:2259,8.8,24,D
37852,20110330:2259,9.9,24,D
37852,20110331:2259,8.0,24,D
37852,20110401:2259,5.5,24,D
37852,20110402:2259,7.9,24,D
37852,20110403:2359,6.6,24,D
37852,20110404:2359,7.7,24,D
37852,20110405:2359,6.3,24,D
37852,20110406:2359,6.2,24,D
37852,20110407:2359,6.0,24,D
37852,20110408:2359,8.3,24,D
37852,20110409:2359,8.1,24,D
37852,20110410:2359,4.1,24,D
37852,20110411:2359,3.6,24,D
37852,20110412:2359,8.0,24,D
37852,20110413:2359,8.0,24,D
37852,20110414:2359,5.6,24,D
37852,20110415:2359,5.3,24,D
37852,20110416:2359,0.6,24,D
37852,20110417:2359,5.8,24,D
37852,20110418:2359,5.3,24,D
37852,20110419:2359,7.5,24,D
37852,20110420:2359,5.6,24,D
37852,20110421:2359,5.7,24,D
37852,20110422:2359,1.4,24,D
37852,20110423:2359,6.7,24,D
37852,20110424:2359,2.3,24,D
37852,20110425:2359,0.0,24,D
37852,20110426:2359,0.3,24,D
37852,20110427:2359,1.5,24,D
37852,20110428:2359,0.4,24,D
37852,20110429:2359,6.2,24,D
37852,20110430:2359,5.7,24,D
37852,20110501:2359,0.1,24,D
37852,20110502:2359,0.0,24,D
37852,20110503:2359,1.1,24,D
37852,20110504:2359,2.9,24,D
37852,20110505:2359,7.1,24,D
37852,20110506:2359,0.7,24,D
37852,20110507:2359,6.0,24,D
37852,20110508:2359,6.7,24,D
37852,20110509:2359,5.9,24,D
37852,20110510:2359,4.9,24,D
37852,20110511:2359,0.0,24,D
37852,20110512:2359,7.7,24,D
37852,20110513:2359,5.9,24,D
37852,20110514:2359,7.3,24,D
37852,20110515:2359,3.3,24,D
37852,20110516:2359,5.7,24,D
37852,20110517:2359,5.4,24,D
37852,20110518:2359,6.0,24,D
37852,20110519:2359,2.7,24,D
37852,20110520:2359,5.1,24,D
37852,20110521:2359,4.5,24,D
37852,20110522:2359,6.0,24,D
37852,20110523:2359,6.9,24,D
37852,20110524:2359,6.6,24,D
37852,20110525:2359,0.1,24,D
37852,20110526:2359,0.0,24,D
37852,20110527:2359,2.7,24,D
37852,20110528:2359,5.3,24,D
37852,20110529:2359,5.4,24,D
37852,20110530:2359,2.6,24,D
37852,20110531:2359,4.6,24,D
37852,20110601:2359,5.5,24,D
37852,20110602:2359,4.6,24,D
37852,20110603:2359,0.0,24,D
37852,20110604:2359,0.0,24,D
37852,20110605:2359,5.9,24,D
37852,20110606:2359,3.6,24,D
