Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Sunshine: Daily
Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
4843,20110327:2259,1.1,24,D
4843,20110328:2259,10.3,24,D
4843,20110329:2259,10.3,24,D
4843,20110330:2259,10.7,24,D
4843,20110331:2259,7.7,24,D
4843,20110401:2259,3.4,24,D
4843,20110402:2259,10.6,24,D
4843,20110403:2359,1.4,24,D
4843,20110404:2359,0.6,24,D
4843,20110405:2359,5.8,24,D
4843,20110406:2359,7.2,24,D
4843,20110407:2359,5.9,24,D
4843,20110408:2359,6.2,24,D
4843,20110409:2359,5.7,24,D
4843,20110410:2359,8.4,24,D
4843,20110411:2359,8.2,24,D
4843,20110412:2359,8.3,24,D
4843,20110413:2359,8.6,24,D
4843,20110414:2359,0.0,24,D
4843,20110415:2359,0.0,24,D
4843,20110416:2359,0.0,24,D
4843,20110417:2359,0.0,24,D
4843,20110418:2359,5.1,24,D
4843,20110419:2359,5.0,24,D
4843,20110420:2359,0.0,24,D
4843,20110421:2359,6.7,24,D
4843,20110422:2359,4.5,24,D
4843,20110423:2359,2.4,24,D
4843,20110424:2359,9.2,24,D
4843,20110425:2359,0.0,24,D
4843,20110426:2359,0.0,24,D
4843,20110427:2359,0.0,24,D
4843,20110428:2359,8.8,24,D
4843,20110429:2359,9.6,24,D
4843,20110430:2359,9.7,24,D
4843,20110501:2359,1.1,24,D
4843,20110502:2359,0.0,24,D
4843,20110503:2359,0.0,24,D
4843,20110504:2359,0.0,24,D
4843,20110505:2359,0.0,24,D
4843,20110506:2359,0.0,24,D
4843,20110507:2359,0.0,24,D
4843,20110508:2359,6.8,24,D
4843,20110509:2359,0.0,24,D
4843,20110510:2359,0.0,24,D
4843,20110511:2359,0.1,24,D
4843,20110512:2359,7.4,24,D
4843,20110513:2359,2.4,24,D
4843,20110514:2359,8.8,24,D
4843,20110515:2359,3.4,24,D
4843,20110516:2359,4.7,24,D
4843,20110517:2359,8.5,24,D
4843,20110518:2359,9.0,24,D
4843,20110519:2359,4.7,24,D
4843,20110520:2359,7.0,24,D
4843,20110521:2359,7.7,24,D
4843,20110522:2359,6.7,24,D
4843,20110523:2359,2.5,24,D
4843,20110524:2359,3.1,24,D
4843,20110525:2359,0.4,24,D
4843,20110526:2359,0.0,24,D
4843,20110527:2359,0.4,24,D
4843,20110528:2359,7.2,24,D
4843,20110529:2359,7.7,24,D
4843,20110530:2359,8.7,24,D
4843,20110531:2359,7.7,24,D
4843,20110601:2359,3.1,24,D
4843,20110602:2359,4.7,24,D
4843,20110603:2359,1.2,24,D
4843,20110604:2359,0.3,24,D
4843,20110605:2359,0.4,24,D
4843,20110606:2359,0.9,24,D
4843,20110607:2359,0.8,24,D
4843,20110608:2359,5.0,24,D
4843,20110609:2359,5.7,24,D
4843,20110610:2359,0.0,24,D
4843,20110611:2359,0.0,24,D
4843,20110612:2359,2.8,24,D
4843,20110613:2359,6.5,24,D
4843,20110614:2359,6.5,24,D
4843,20110615:2359,7.7,24,D
4843,20110616:2359,8.0,24,D
4843,20110617:2359,0.0,24,D
4843,20110618:2359,0.0,24,D
4843,20110619:2359,0.0,24,D
4843,20110620:2359,0.0,24,D
4843,20110621:2359,0.5,24,D
4843,20110622:2359,0.0,24,D
4843,20110623:2359,0.0,24,D
4843,20110624:2359,5.8,24,D
4843,20110625:2359,5.1,24,D
4843,20110626:2359,2.7,24,D
4843,20110627:2359,6.8,24,D
4843,20110628:2359,0.0,24,D
4843,20110629:2359,5.1,24,D
4843,20110630:2359,2.3,24,D
4843,20110701:2359,1.0,24,D
4843,20110702:2359,6.9,24,D
4843,20110703:2359,6.2,24,D
4843,20110704:2359,7.1,24,D
4843,20110705:2359,7.1,24,D
4843,20110706:2359,3.0,24,D
4843,20110707:2359,4.2,24,D
4843,20110708:2359,5.4,24,D
4843,20110709:2359,3.2,24,D
4843,20110710:2359,6.4,24,D
