Grid demand trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20200429171210

Parameters
Date range,01 Jan 2010 - 28 Apr 2020
Region type,Zone
Time scale,Day
Show,Final pricing demand

Period start,Period end,Trading period,Region ID,Region,Demand (GWh)
13/02/2010,13/02/2010,N/A,LNI,Lower North Island,17.034
13/02/2010,13/02/2010,N/A,USI,Upper South Island,14.549
13/02/2010,13/02/2010,N/A,LSI,Lower South Island,23.175
14/02/2010,14/02/2010,N/A,UNI,Upper North Island,24.909
14/02/2010,14/02/2010,N/A,CNI,Central North Island,21.890
14/02/2010,14/02/2010,N/A,LNI,Lower North Island,16.054
14/02/2010,14/02/2010,N/A,USI,Upper South Island,14.328
14/02/2010,14/02/2010,N/A,LSI,Lower South Island,23.008
15/02/2010,15/02/2010,N/A,UNI,Upper North Island,30.373
15/02/2010,15/02/2010,N/A,CNI,Central North Island,23.678
15/02/2010,15/02/2010,N/A,LNI,Lower North Island,16.310
15/02/2010,15/02/2010,N/A,USI,Upper South Island,16.999
15/02/2010,15/02/2010,N/A,LSI,Lower South Island,24.143
16/02/2010,16/02/2010,N/A,UNI,Upper North Island,30.556
16/02/2010,16/02/2010,N/A,CNI,Central North Island,24.032
16/02/2010,16/02/2010,N/A,LNI,Lower North Island,15.599
16/02/2010,16/02/2010,N/A,USI,Upper South Island,17.104
16/02/2010,16/02/2010,N/A,LSI,Lower South Island,24.477
17/02/2010,17/02/2010,N/A,UNI,Upper North Island,31.213
17/02/2010,17/02/2010,N/A,CNI,Central North Island,24.361
17/02/2010,17/02/2010,N/A,LNI,Lower North Island,14.792
17/02/2010,17/02/2010,N/A,USI,Upper South Island,17.367
17/02/2010,17/02/2010,N/A,LSI,Lower South Island,24.701
18/02/2010,18/02/2010,N/A,UNI,Upper North Island,31.502
18/02/2010,18/02/2010,N/A,CNI,Central North Island,24.072
18/02/2010,18/02/2010,N/A,LNI,Lower North Island,17.088
18/02/2010,18/02/2010,N/A,USI,Upper South Island,16.863
18/02/2010,18/02/2010,N/A,LSI,Lower South Island,24.412
19/02/2010,19/02/2010,N/A,UNI,Upper North Island,29.957
19/02/2010,19/02/2010,N/A,CNI,Central North Island,23.972
19/02/2010,19/02/2010,N/A,LNI,Lower North Island,16.125
19/02/2010,19/02/2010,N/A,USI,Upper South Island,15.257
19/02/2010,19/02/2010,N/A,LSI,Lower South Island,23.718
20/02/2010,20/02/2010,N/A,UNI,Upper North Island,25.464
20/02/2010,20/02/2010,N/A,CNI,Central North Island,22.110
